Крестный отец|Марио Пьюзо|1969|Роман|прочитана|5.0|Классика, обязательная к прочтению
Омерта|Марио Пьюзо|2000|Роман|прочитана|4.9|Хороший криминальный роман
Богатый папа бедный папа|Роберт Кийосаки|1997|бизнес-литература|прочитана|3.5|не актуальна в современных реалиях России
Бойцовский клуб|Чак Паланик|1996|Роман|прочитана|4.8|Культовая книга, которая бьет по мозгам
На игле|Ирвин Уэлш|1993|роман|не прочитана|0.0|
Война и мир|Лев Толстой|1865|Роман|не прочитана|0.0|
Заводной апельсин|Энтони Берджесс|1962|роман-антиутопия|прочитана|0.0|
50 оттенков серого|Э. Л. Джеймс|2011|Роман|прочитана|3.5|пойдет
Майн кампф|Адольф Гитлер|1925|Автобиография|прочитана|0.0|
Чистый код|Роберт Мартин|2008|научно техничесая литература|не прочитана|0.0|
Мастер и Маргарита|Михаила Афанасьевича Булгакова|1967|Роман|прочитана|4.0|неплохо
Два брата|Бен Элтон|2012|Военный роман|прочитана|5.0|автор хорошо передает атмосферу времени 2 мировой войны
Три товарища|Эрих Мария Ремарк|1936|Роман|прочитана|5.0|погрустить
Любовник леди Чаттерлей|Дэвид Герберт Лоуренс|1928|Роман|прочитана|4.0|пойдет
Преступление и наказание|Федор Достоевский|1866|Роман|не прочитана|0.0|
Первый дон|Марио Пьюзо|2001|роман|прочитана|4.5|не помню уже
Последний дон|Марио Пьюзо|1996|роман|прочитана|4.5|не помню
Семья Корлеоне|Эд Фалько|2012|Роман|прочитана|5.0|Отличная книга после прочтеня Крёстного отца
Человек-амфибия|Александр Беляев|1927|Фантастика|прочитана|5.0|для подростка норм
Трансёрфинг реальности|Вадим Зеланд|2011|эзоторика|не прочитана|0.0|
